City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hambantota,6.12,81.12,77.7,83,100,18.95,LK,1608498999
Torbay,47.67,-52.73,24.8,85,20,8.05,CA,1608498999
Minna,9.61,6.56,82.4,51,5,3.36,NG,1608498999
Nagato,34.38,131.2,44.6,45,40,12.75,JP,1608499000
São Joaquim,-28.29,-49.93,62.24,100,100,2.13,BR,1608499000
Souillac,-20.52,57.52,77.0,88,40,3.36,MU,1608499000
Tateyama,34.98,139.87,39.0,28,75,4.0,JP,1608499000
Barcelos,41.54,-8.62,57.2,93,75,17.22,PT,1608498940
Stornoway,58.21,-6.39,46.4,87,82,19.46,GB,1608499000
Geraldton,-28.77,114.6,60.8,77,0,6.93,AU,1608499000
Riyadh,24.69,46.72,55.4,66,0,3.36,SA,1608498782
Impfondo,1.64,18.07,74.61,80,100,3.87,CG,1608499001
Port-Gentil,-0.72,8.78,82.4,83,75,9.17,GA,1608499001
Kiama,-34.68,150.87,71.01,94,100,1.99,AU,1608499001
College,64.86,-147.8,-7.01,77,100,2.91,US,1608498760
Saint-Philippe,-21.36,55.77,77.0,83,0,8.05,RE,1608499001
São Filipe,14.9,-24.5,73.83,69,100,11.12,CV,1608499001
Tiksi,71.69,128.87,-15.86,90,100,6.69,RU,1608498876
Dikson,73.51,80.55,-26.86,85,62,6.71,RU,1608499002
Provideniya,64.38,-173.3,1.4,70,0,13.42,RU,1608499002
Ambon City,-3.7,128.18,82.04,75,97,5.66,ID,1608499002
Aksarka,66.56,67.8,-22.31,86,59,13.29,RU,1608498739
Butaritari,3.07,172.79,81.28,78,58,15.99,KI,1608498735
Atuona,-9.8,-139.03,78.71,76,35,16.91,PF,1608499002
Fare,-16.7,-151.02,81.5,69,38,7.31,PF,1608499003
Grindavik,63.84,-22.43,35.6,79,75,27.51,IS,1608499003
Laas,46.62,10.7,39.0,92,75,1.88,IT,1608499003
Sobolevo,54.43,31.9,32.76,97,100,7.18,RU,1608499003
Pacific Grove,36.62,-121.92,64.99,39,1,5.82,US,1608499003
Lebu,-37.62,-73.65,57.29,73,0,19.24,CL,1608499003
Rørvik,64.86,11.24,46.4,61,0,11.41,NO,1608499003
North Bend,43.41,-124.22,57.0,100,90,17.22,US,1608498747
Tocopilla,-22.09,-70.2,70.36,47,80,6.53,CL,1608499004
Revda,56.8,59.93,10.4,72,75,20.13,RU,1608499004
Debre Tabor,11.85,38.02,53.94,65,54,3.98,ET,1608499004
Kedrovyy,56.17,91.82,19.4,85,100,11.18,RU,1608499004
Åmot,59.57,7.99,44.01,87,100,5.01,NO,1608499004
Husavik,66.04,-17.34,32.0,94,90,6.8,IS,1608499004
Ilulissat,69.22,-51.1,12.2,51,37,18.34,GL,1608499005
Sterlibashevo,53.44,55.26,-3.42,85,33,6.69,RU,1608499005
Merauke,-8.47,140.33,81.75,78,98,4.29,ID,1608499005
Bambanglipuro,-7.95,110.28,75.7,84,100,5.5,ID,1608499005
Torit,4.41,32.57,81.34,37,13,2.13,SS,1608499005
Mount Isa,-20.73,139.5,75.2,100,75,3.36,AU,1608499005
Fendou,46.65,124.87,10.47,87,0,7.29,CN,1608499005
Piney Green,34.72,-77.32,48.0,93,90,5.82,US,1608499005
Hilo,19.73,-155.09,73.4,94,90,4.7,US,1608498714
Manchester,53.48,-2.24,43.0,86,0,5.82,GB,1608498998
Longyearbyen,78.22,15.64,6.8,60,0,32.21,SJ,1608499006
Livezi,44.85,23.82,39.0,93,90,5.82,RO,1608499006
Paramonga,-10.67,-77.83,72.81,71,42,9.44,PE,1608499006
Namatanai,-3.67,152.43,81.3,77,32,2.51,PG,1608499006
Yellowknife,62.46,-114.35,-16.01,75,75,8.05,CA,1608499007
Alta Floresta,-9.88,-56.09,85.57,72,32,2.98,BR,1608499007
Jacqueville,5.21,-4.41,82.4,83,20,5.82,CI,1608499007
Santa Maria,-29.68,-53.81,78.8,47,0,8.05,BR,1608499007
Konëvo,62.12,39.32,35.2,96,100,8.37,RU,1608499007
Hobyo,5.35,48.53,78.75,78,81,18.68,SO,1608498853
Narsaq,60.92,-46.05,24.8,58,100,9.17,GL,1608499007
Brae,60.4,-1.35,46.4,81,6,20.8,GB,1608499007
Port Hardy,50.7,-127.42,44.6,93,75,5.82,CA,1608499008
Nelson Bay,-32.72,152.15,71.01,100,90,5.82,AU,1608499008
Talnakh,69.49,88.4,-32.8,73,95,4.47,RU,1608499008
Jonesboro,35.84,-90.7,46.0,81,90,6.93,US,1608498898
Tucupita,9.06,-62.05,78.12,93,23,4.21,VE,1608499008
Northam,51.03,-4.22,45.0,95,98,4.0,GB,1608499008
Adamantas,36.73,24.43,53.6,71,100,9.17,GR,1608499009
Kielce,50.87,20.63,35.01,1,1,3.96,PL,1608499009
Jamestown,42.1,-79.24,35.01,98,90,8.05,US,1608498734
Wanning,18.8,110.4,61.21,71,100,18.61,CN,1608499009
Grand Gaube,-20.01,57.66,77.0,82,1,1.99,MU,1608499009
Hasaki,35.73,140.83,30.2,54,20,6.93,JP,1608498877
Ağdam,39.99,46.93,39.54,72,30,2.35,AZ,1608499009
Mafeteng,-29.82,27.24,71.44,47,83,10.45,LS,1608499009
Chumikan,54.72,135.31,-7.28,83,95,25.55,RU,1608499010
Arraial do Cabo,-22.97,-42.03,86.0,74,0,12.75,BR,1608498862
Huarmey,-10.07,-78.15,73.74,70,70,9.62,PE,1608499010
Nikolskoye,59.7,30.79,33.8,94,90,8.95,RU,1608498832
Thompson,55.74,-97.86,-9.4,69,90,4.7,CA,1608498909
Puerto Escondido,15.85,-97.07,80.6,78,40,5.82,MX,1608499010
Kinarut,5.82,116.05,80.6,78,20,9.17,MY,1608499011
Batié,9.88,-2.92,80.89,16,15,4.27,BF,1608499011
Pauini,-7.71,-66.98,87.64,57,100,2.06,BR,1608499011
Leduc,53.27,-113.55,37.4,47,72,24.16,CA,1608498909
Chimbote,-9.09,-78.58,72.68,73,28,10.31,PE,1608498874
Diffa,13.32,12.61,71.01,22,0,7.2,NE,1608499011
Katsuura,35.13,140.3,39.0,44,20,8.05,JP,1608499011
Gravdal,68.12,13.5,44.6,81,75,12.75,NO,1608499011
Hanzhong,33.07,107.03,32.95,87,0,0.47,CN,1608498979
Ponta do Sol,32.67,-17.1,62.6,77,20,8.05,PT,1608498810
Khani,41.96,42.96,41.0,93,90,6.93,GE,1608499009
Show Low,34.25,-110.03,52.0,24,1,9.17,US,1608499012
Cidreira,-30.18,-50.21,76.6,59,91,8.05,BR,1608498806
Teahupoo,-17.83,-149.27,86.0,66,40,9.17,PF,1608499012
Coyhaique,-45.58,-72.07,62.6,42,75,10.29,CL,1608499012
Mil'kovo,54.72,158.62,-3.1,90,11,1.21,RU,1608499013
Dhidhdhoo,6.88,73.1,82.31,67,70,7.18,MV,1608499013
General Roca,-39.03,-67.58,80.6,24,20,8.05,AR,1608499013
Castro,-24.79,-50.01,71.92,88,100,7.87,BR,1608498740
Taoudenni,22.68,-3.98,62.65,35,0,10.6,ML,1608498961
Chui,-33.7,-53.46,69.51,51,0,14.16,UY,1608498763
Modāsa,23.47,73.3,59.23,35,6,8.46,IN,1608498959
Chilliwack,49.17,-121.94,52.0,62,100,4.7,CA,1608499014
Saravan,39.72,45.65,30.2,86,98,6.93,AM,1608499014
Olafsvik,64.89,-23.71,34.05,87,100,29.26,IS,1608499014
Mahébourg,-20.41,57.7,77.0,88,40,3.36,MU,1608499014
Yeniseysk,58.45,92.17,-13.85,89,9,2.04,RU,1608499014
Basoko,1.24,23.62,75.11,77,37,3.51,CD,1608499015
Pemangkat,1.17,108.97,77.02,87,92,8.19,ID,1608499015
Dalby,-27.18,151.27,75.99,76,71,4.0,AU,1608499015
Misratah,32.38,15.09,65.39,71,99,14.36,LY,1608499015
Oranjestad,12.52,-70.03,84.2,70,20,18.34,AW,1608498955
Menzel Salem,35.86,8.48,48.2,93,75,4.7,TN,1608499015
Wajir,1.75,40.06,82.94,57,0,2.21,KE,1608499015
Cherskiy,68.75,161.3,-29.36,85,0,1.92,RU,1608499015
Sur,22.57,59.53,69.89,70,11,8.03,OM,1608499016
Nanchang,28.68,115.88,39.16,72,0,6.42,CN,1608499016
San Vicente,-26.62,-54.13,71.26,85,100,1.48,AR,1608499016
Tessalit,20.2,1.01,62.4,29,0,10.65,ML,1608499016
Faanui,-16.48,-151.75,80.6,69,33,5.46,PF,1608499016
Atar,20.52,-13.05,64.11,29,0,10.54,MR,1608499016
Mananara,-16.17,49.77,74.93,90,60,2.57,MG,1608498749
Nome,64.5,-165.41,-18.4,68,1,2.53,US,1608498761
Orimattila,60.8,25.73,39.0,97,100,1.99,FI,1608499017
Saint George,37.1,-113.58,48.2,29,1,5.82,US,1608498779
Spartanburg,34.95,-81.93,46.99,81,75,0.92,US,1608499017
Dois Vizinhos,-25.73,-53.06,75.07,82,100,4.54,BR,1608498804
Shaghat,39.56,45.91,30.2,86,97,6.93,AM,1608499017
Pimentel,-6.84,-79.93,77.0,61,0,18.34,PE,1608499017
Umluj,25.02,37.27,73.8,58,0,9.84,SA,1608499018
Hokitika,-42.72,170.97,58.93,94,100,14.07,NZ,1608499018
Alyangula,-13.85,136.42,77.0,100,100,4.7,AU,1608499018
Arbazh,57.68,48.31,6.8,95,99,10.65,RU,1608499018
Bohodukhiv,50.16,35.53,28.4,79,75,8.95,UA,1608499018
Salinópolis,-0.61,-47.36,81.32,73,5,10.89,BR,1608499018
Kupang,-10.17,123.58,81.88,82,100,14.27,ID,1608499019
Sakakah,29.97,40.21,53.6,62,0,12.75,SA,1608498740
Río Gallegos,-51.62,-69.22,71.6,24,75,29.97,AR,1608499019
Bathsheba,13.22,-59.52,78.8,83,40,18.34,BB,1608499019
Turukhansk,65.82,87.98,-15.9,88,100,12.57,RU,1608499019
High Level,58.52,-117.14,-9.4,76,40,4.7,CA,1608499019
Cascais,38.7,-9.42,60.01,87,72,3.0,PT,1608499019
Tiznit Province,29.58,-9.5,57.69,64,0,1.07,MA,1608499019
São João da Barra,-21.64,-41.05,84.2,70,0,23.04,BR,1608499020
East London,-33.02,27.91,72.77,87,0,1.83,ZA,1608499020
Upernavik,72.79,-56.15,10.81,85,98,5.86,GL,1608499020
Lata,40.16,-8.33,57.99,87,0,5.82,PT,1608499020
Alofi,-19.06,-169.92,80.76,79,99,9.82,NU,1608499020
Batagay-Alyta,67.8,130.41,-30.91,83,100,0.65,RU,1608499020
Khandyga,62.67,135.6,-44.34,73,0,0.89,RU,1608499021
Anūpgarh,29.19,73.21,56.5,32,97,4.92,IN,1608499021
Imbituba,-28.24,-48.67,80.6,69,40,8.05,BR,1608498828
La Asuncion,11.03,-63.86,80.46,78,0,12.26,VE,1608499021
Kostomuksha,64.57,30.58,37.27,94,100,12.86,RU,1608499021
Abū Zabad,12.35,29.25,69.42,30,0,9.95,SD,1608499022
Airai,-8.93,125.41,61.29,100,100,3.13,TL,1608498856
Bonthe,7.53,-12.51,79.54,78,0,6.2,SL,1608499022
Marondera,-18.19,31.55,63.03,94,100,4.05,ZW,1608499022
Carutapera,-1.2,-46.02,80.01,75,16,6.8,BR,1608499022
Mariestad,58.71,13.82,46.4,87,100,8.05,SE,1608499022
Caconda,-13.73,15.07,61.54,78,100,9.26,AO,1608499022
Marzuq,14.4,46.47,63.81,53,75,3.74,YE,1608499023
Kalisz,51.76,18.09,35.01,93,78,5.99,PL,1608499023
Abu Samrah,35.3,37.18,51.62,75,0,6.15,SY,1608499023
Andradina,-20.9,-51.38,82.78,64,93,6.13,BR,1608499023
Coahuayana Viejo,18.73,-103.68,84.2,39,40,9.17,MX,1608499023
Takoradze,4.88,-1.76,79.66,83,33,7.18,GH,1608499023
Celestún,20.87,-90.4,78.39,74,14,8.7,MX,1608499023
Santa Isabel Rio Negro,-0.41,-65.02,80.65,94,99,3.15,BR,1608499024
Sozimskiy,59.74,52.25,10.96,95,100,9.44,RU,1608499024
Muros,42.78,-9.06,57.99,92,100,1.01,ES,1608499024
Kangaatsiaq,68.31,-53.46,6.44,85,91,10.87,GL,1608499024
Oranjemund,-28.55,16.43,64.78,82,99,11.95,NA,1608499024
Chorozinho,-4.3,-38.5,84.2,66,40,11.41,BR,1608499024
Juneau,58.3,-134.42,37.4,74,75,5.82,US,1608498927
Tereze,43.94,42.44,33.8,86,90,13.42,RU,1608499025
Sulangan,11.14,123.72,81.79,79,100,14.54,PH,1608499025
Sidi Ali,36.1,0.42,52.95,92,1,3.36,DZ,1608499025
Ahipara,-35.17,173.17,68.72,63,73,4.68,NZ,1608499025
Shingū,33.73,135.98,35.6,85,3,6.96,JP,1608499025
Rochegda,62.8,43.25,32.61,98,100,4.68,RU,1608499025
Tartous,34.89,35.89,54.0,76,0,3.36,SY,1608499026
Pasni,25.26,63.47,70.0,52,100,8.08,PK,1608499026
Tuy Hoa,13.08,109.3,68.9,89,100,16.67,VN,1608499026
Cayenne,4.93,-52.33,82.4,78,75,6.93,GF,1608498877
Hūn,29.13,15.95,61.75,46,80,11.63,LY,1608498760
Los Llanos de Aridane,28.66,-17.92,66.2,72,20,6.93,ES,1608498831
Sicamous,50.83,-118.99,41.0,93,98,3.8,CA,1608499026
Severo-Kuril'sk,50.68,156.12,27.21,93,84,21.23,RU,1608499027
Dhārchula,29.85,80.53,49.8,34,80,6.78,IN,1608499027
Riachão do Jacuípe,-11.81,-39.39,87.13,44,92,10.54,BR,1608499027
Beringovskiy,63.05,179.32,-7.69,90,88,14.92,RU,1608499027
Anjozorobe,-18.4,47.87,68.0,82,75,4.7,MG,1608499027
Hong Kong,22.29,114.16,57.0,60,100,1.99,HK,1608498928
Luganville,-15.53,167.17,78.8,88,75,6.96,VU,1608499027
Srednekolymsk,67.45,153.68,-37.68,83,5,1.1,RU,1608498991
Pandan,14.05,124.17,79.39,85,100,13.09,PH,1608499028
Alekseyevsk,57.84,108.35,-0.78,91,100,1.43,RU,1608499028
Kiryat Gat,31.61,34.76,57.99,87,0,1.12,IL,1608499028
Fairmont,39.49,-80.14,39.99,94,96,4.52,US,1608499028
Iqaluit,63.75,-68.51,-5.8,70,40,2.24,CA,1608499028
Bang Mun Nak,16.03,100.38,64.08,62,15,6.49,TH,1608499028
Norman Wells,65.28,-126.83,-31.0,66,75,5.82,CA,1608499029
Anadyr,64.75,177.48,-16.01,75,0,8.95,RU,1608499029
Phalaborwa,-23.94,31.14,75.2,94,0,3.36,ZA,1608499029
Kapoeta,4.77,33.59,84.27,35,44,8.93,SS,1608499029
Broken Hill,-31.95,141.43,68.0,72,90,10.29,AU,1608498857
Galesong,-5.32,119.37,75.2,100,40,4.7,ID,1608499030
La Ronge,55.1,-105.28,1.4,77,100,10.29,CA,1608499031
Kawasaki,35.52,139.72,37.4,44,20,8.05,JP,1608499031
Sept-Îles,50.2,-66.38,28.4,86,95,4.7,CA,1608499031
Comodoro Rivadavia,-45.87,-67.5,75.2,33,20,19.46,AR,1608498784
Concepción del Oro,24.63,-101.42,61.07,30,17,4.05,MX,1608499031
Graham,47.05,-122.29,52.0,87,90,3.36,US,1608498874
Mthatha,-31.59,28.78,66.2,93,29,4.7,ZA,1608499032
Springbok,-29.66,17.89,75.97,28,96,3.83,ZA,1608499032
Mossamedes,-15.2,12.15,68.25,80,100,4.83,AO,1608499032
Te Anau,-45.42,167.72,49.91,91,100,0.47,NZ,1608499032
Drezdenko,52.84,15.83,32.0,85,98,1.01,PL,1608499032
Amga,60.9,131.96,-33.41,82,97,2.44,RU,1608499032
Ketchikan,55.34,-131.65,39.2,100,90,5.82,US,1608499032
Kenai,60.55,-151.26,19.99,85,75,4.7,US,1608499033
Paragould,36.06,-90.5,46.0,81,90,6.93,US,1608498960
San Patricio,28.02,-97.52,73.99,37,20,5.82,US,1608499033
Athabasca,54.72,-113.29,37.4,80,100,16.11,CA,1608499033
Salinas,36.68,-121.66,64.0,41,1,6.93,US,1608498905
Hof,50.32,11.92,36.0,97,100,5.01,DE,1608499033
Preobrazheniye,42.9,133.91,16.03,84,20,10.13,RU,1608499033
Mitú,1.2,-70.17,81.16,91,78,2.13,CO,1608499033
Vila Franca do Campo,37.72,-25.43,62.6,93,75,16.11,PT,1608499034
Shelburne,44.08,-80.2,37.0,93,82,11.3,CA,1608499034
Uberlândia,-18.92,-48.28,84.2,48,20,8.05,BR,1608499034
Atbasar,51.8,68.33,-5.3,87,2,8.55,KZ,1608499034
Fukuechō,32.69,128.84,47.8,59,100,14.97,JP,1608499034
Lagan,45.39,47.37,29.34,96,95,13.42,RU,1608499034
Kaitangata,-46.28,169.85,55.0,90,100,11.99,NZ,1608498780
Kieta,-6.22,155.63,81.97,72,99,3.11,PG,1608499034
Cabo San Lucas,22.89,-109.91,78.01,57,75,4.7,MX,1608499035
Tautira,-17.73,-149.15,86.0,66,40,9.17,PF,1608499035
Beloha,-25.17,45.05,75.47,85,1,9.57,MG,1608498757
Wexford,52.33,-6.46,46.0,93,20,2.24,IE,1608499035
Loandjili,-4.76,11.86,77.0,94,20,10.29,CG,1608499035
Gouré,13.98,10.27,73.99,21,0,5.01,NE,1608499035
Laguna,38.42,-121.42,57.0,93,1,3.76,US,1608498873
Robertsport,6.75,-11.37,80.26,78,2,6.67,LR,1608499036
Little Current,45.98,-81.92,35.6,84,82,9.17,CA,1608498801
Kyzyl-Suu,42.34,78.01,23.14,79,3,7.18,KG,1608499036
Menongue,-14.66,17.69,65.62,90,100,5.57,AO,1608499036
Rosarito,32.33,-117.03,80.6,9,1,4.7,MX,1608498866
Vostok,46.49,135.88,-9.63,92,100,5.35,RU,1608498854
Östersund,63.18,14.64,41.0,80,100,16.11,SE,1608498823
Ballina,-28.87,153.57,75.2,88,96,3.76,AU,1608499037
Gigmoto,13.78,124.39,79.63,83,100,11.41,PH,1608499037
Soyo,-6.13,12.37,76.82,85,100,4.47,AO,1608499037
Yara,20.28,-76.95,82.69,68,23,6.69,CU,1608499037
Kaoma,-14.78,24.8,65.79,93,100,4.21,ZM,1608499037
Vardø,70.37,31.11,30.2,100,75,17.22,NO,1608499037
Nālūt,30.33,10.85,53.73,47,100,4.76,LY,1608499038
Broome,42.25,-75.83,34.0,86,90,5.82,US,1608499038
Piranshahr,36.7,45.14,29.34,86,0,4.34,IR,1608499038
Mount Gambier,-37.83,140.77,51.8,87,90,8.05,AU,1608499038
Turki,51.99,43.27,4.44,94,0,5.32,RU,1608499038
Fort Nelson,58.81,-122.7,-7.6,69,75,2.26,CA,1608498909
Eilat,29.56,34.95,57.2,67,0,9.17,IL,1608499039
Kruisfontein,-34.0,24.73,72.0,87,73,3.0,ZA,1608499039
Kemin,42.78,75.69,16.23,92,100,1.48,KG,1608499039
Monrovia,6.3,-10.8,75.2,94,40,4.83,LR,1608499036
Manicoré,-5.81,-61.3,84.38,80,95,1.9,BR,1608499039
Algarrobo,10.19,-74.58,88.45,54,74,6.11,CO,1608499039
Nyakabindi,-2.63,33.98,64.8,85,100,0.94,TZ,1608499039
Muravlenko,63.79,74.52,0.81,94,98,9.93,RU,1608499040
Singaraja,-8.11,115.09,79.95,75,100,5.57,ID,1608499040
Faranah,10.04,-10.74,75.04,28,8,2.39,GN,1608499040
Keelung,25.13,121.74,59.0,100,75,14.99,TW,1608499040
Saurimo,-9.66,20.39,62.64,98,98,3.0,AO,1608499040
Monduli,-3.3,36.45,64.4,82,20,6.76,TZ,1608499040
Neuquén,-38.95,-68.06,80.6,24,20,8.05,AR,1608499041
Richards Bay,-28.78,32.04,76.05,88,91,7.16,ZA,1608499041
Poum,-20.23,164.02,78.66,72,54,9.28,NC,1608499041
Ostrovnoy,68.05,39.51,27.16,97,100,20.0,RU,1608499041
Kenitra,34.26,-6.58,53.6,100,20,5.79,MA,1608498950
Ust-Tsilma,65.44,52.15,5.36,92,13,4.74,RU,1608499042
Hurghada,27.26,33.81,64.4,55,0,9.17,EG,1608499042
Rome,43.21,-75.46,32.0,86,90,6.93,US,1608498964
Kidal,18.44,1.41,70.99,22,1,13.58,ML,1608499042
Yulara,-25.24,130.99,69.8,83,75,9.17,AU,1608499042
Dingle,11.0,122.67,76.46,89,100,8.43,PH,1608499042
Angren,41.02,70.14,26.76,83,17,3.0,UZ,1608499042
‘Āhuimanu,21.44,-157.84,82.0,74,40,11.41,US,1608499042
Krasnoborsk,61.56,45.93,26.31,97,100,6.76,RU,1608499043
Lentvaris,54.65,25.05,32.0,100,90,11.41,LT,1608499043
Ocós,14.51,-92.19,93.2,59,20,10.29,GT,1608499043
Colares,38.8,-9.45,60.01,87,73,3.0,PT,1608498853
Yangi Marg`ilon,40.43,71.72,33.8,86,100,1.52,UZ,1608498943
Coos Bay,43.37,-124.22,60.01,100,90,17.22,US,1608499043
Cap Malheureux,-19.98,57.61,77.0,82,0,1.99,MU,1608499044
Ust'-Kan,50.93,84.76,5.45,86,20,6.44,RU,1608499044
Caorle,45.6,12.88,48.99,92,93,4.23,IT,1608499044
Novo Aripuanã,-5.12,-60.38,84.38,73,87,1.39,BR,1608499044
Buraidah,26.33,43.98,59.0,82,75,12.75,SA,1608499044
Krasnosel'kup,65.7,82.47,-2.09,92,100,4.05,RU,1608499044
Béjar,40.39,-5.76,44.01,94,35,3.2,ES,1608499044
Mechanicsville,37.61,-77.37,42.8,87,90,1.3,US,1608499044
San Cristobal,7.77,-72.22,84.2,62,40,6.93,VE,1608499045
